household_id,geo_lat,geo_lon,village_id,season,year,age,gender,education_level,land_holding_size,mobile_money_txn_count,agri_input_spend,previous_loan_default,credit_access_score,psychometric_resilience,credit_score_label,soil_ph,soil_texture,bulk_density,soc_percent,land_cover_type,ndvi,evi,lst_day,rainfall_mm,soc_class_label,model_partition,data_source,proxy_flag,explainability_tag,timestamp,satellite_id,region_code
HH_00032,23.325257964926397,80.64416587779748,VLG_090,Zaid,2023,37,M,None,0.65,13,439.87,0,0.309,0.486,Low,7.92,Sandy,1.44,1.2,Forest,0.262,0.634,30.1,593.3,Low,test,satellite,0,"age,txn_count",2022-01-02 08:00:00,Sentinel-2,UP-KNP
HH_00033,27.74442768626667,81.00583196987137,VLG_007,Zaid,2023,49,F,Primary,0.68,8,1652.25,1,0.195,0.879,High,6.05,Clayey,1.34,0.56,Agriculture,0.784,0.608,36.1,730.4,Medium,train,satellite,0,"age,txn_count",2022-01-02 09:00:00,Sentinel-2,BR-PTN
HH_00034,27.828160165372797,76.662553303497,VLG_007,Zaid,2025,61,F,Secondary,1.84,10,1003.08,0,0.568,0.906,Medium,6.12,Clayey,1.33,0.61,Agriculture,0.805,0.484,38.3,729.0,Medium,train,satellite,0,"age,txn_count",2022-01-02 10:00:00,Landsat-8,MP-GWL
HH_00035,27.041986740582306,78.79737404821648,VLG_059,Kharif,2024,33,Other,Secondary,7.19,10,150.81,0,0.327,0.899,Low,7.45,Clayey,1.26,1.28,Agriculture,0.791,0.22,30.6,518.3,Medium,test,satellite,0,"age,txn_count",2022-01-02 11:00:00,Sentinel-2,BR-PTN
HH_00036,24.523068845866852,81.17194227116967,VLG_071,Kharif,2024,22,M,Secondary,6.16,8,417.52,1,0.221,0.404,Medium,6.8,Sandy,1.43,1.17,Agriculture,0.584,0.398,26.5,90.7,Low,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-02 12:00:00,Sentinel-2,MH-NGP
HH_00037,23.48836057003192,84.69818864633785,VLG_033,Zaid,2023,63,F,Secondary,0.52,7,416.75,0,0.255,0.578,Low,7.49,Sandy,1.41,0.29,Agriculture,0.407,0.375,37.7,742.0,High,test,synthetic,0,"ndvi,soc_percent",2022-01-02 13:00:00,MODIS,MP-GWL
HH_00038,26.421165132560784,82.27631137699689,VLG_015,Zaid,2024,29,F,Secondary,0.73,13,1737.63,0,0.117,0.273,High,7.33,Sandy,1.3,0.14,Agriculture,0.798,0.348,41.4,729.1,Medium,train,survey,0,"psychometric_resilience,agri_input_spend",2022-01-02 14:00:00,Sentinel-2,UP-KNP
HH_00039,25.200762468698006,84.22603757093958,VLG_012,Kharif,2024,62,M,Primary,0.07,3,621.72,0,0.19,0.893,Low,6.91,Loamy,1.13,1.25,Water,0.829,0.492,25.9,490.8,Low,train,synthetic,0,"ndvi,soc_percent",2022-01-02 15:00:00,Landsat-8,MP-GWL
HH_00040,23.610191174223893,82.62212058314176,VLG_086,Rabi,2024,38,M,Graduate+,1.02,11,612.05,0,0.279,0.748,Low,5.69,Sandy,1.39,0.76,Agriculture,0.843,0.543,29.2,642.1,Medium,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-02 16:00:00,Sentinel-2,RJ-BHL
HH_00041,25.47588455055635,80.917169688924,VLG_075,Kharif,2025,31,F,Secondary,3.6,9,377.39,0,0.225,0.678,Low,6.25,Clayey,1.35,0.61,Agriculture,0.673,0.263,41.6,848.0,Medium,train,synthetic,0,"age,txn_count",2022-01-02 17:00:00,Landsat-8,BR-PTN
HH_00042,23.171942605576092,76.92023369136345,VLG_090,Zaid,2023,54,F,Secondary,4.95,6,562.5,1,0.392,0.752,Medium,5.98,Clayey,1.31,0.88,Agriculture,0.575,0.497,30.8,853.1,Low,test,synthetic,1,"ndvi,soc_percent",2022-01-02 18:00:00,Sentinel-2,BR-PTN
HH_00043,27.54660201039391,81.66685651892513,VLG_021,Rabi,2022,39,M,Primary,0.54,10,572.96,0,0.084,0.281,High,6.29,Clayey,1.42,0.62,Barren,0.202,0.319,42.1,429.8,Medium,train,survey,0,"age,txn_count",2022-01-02 19:00:00,Landsat-8,MH-NGP
HH_00044,24.293899908000085,81.23379565959907,VLG_095,Rabi,2024,47,M,Graduate+,0.62,7,2146.32,0,0.463,0.629,Low,6.05,Sandy,1.35,0.8,Forest,0.287,0.11,31.3,544.4,Low,train,synthetic,0,"age,txn_count",2022-01-02 20:00:00,Sentinel-2,MH-NGP
HH_00045,26.31261142176991,81.02469170457266,VLG_026,Rabi,2023,40,F,None,0.5,8,1214.26,0,0.122,0.464,Low,6.11,Sandy,1.27,0.71,Agriculture,0.541,0.195,33.9,338.5,Low,test,synthetic,1,"psychometric_resilience,agri_input_spend",2022-01-02 21:00:00,Sentinel-2,MP-GWL
HH_00046,24.558555380447054,79.8978586798824,VLG_063,Kharif,2022,22,F,None,0.86,6,1582.91,0,0.418,0.412,Low,7.21,Loamy,1.4,0.69,Forest,0.707,0.489,25.6,528.5,Medium,validation,synthetic,0,"age,txn_count",2022-01-02 22:00:00,Landsat-8,RJ-BHL
HH_00047,25.600340105889053,80.28656603989276,VLG_001,Kharif,2025,46,F,None,3.27,4,2132.83,0,0.18,0.69,High,6.97,Clayey,1.32,0.22,Agriculture,0.235,0.588,21.5,505.8,Low,train,satellite,0,"age,txn_count",2022-01-02 23:00:00,Landsat-8,MP-GWL
HH_00048,25.733551396716397,78.34442527118104,VLG_096,Kharif,2023,47,M,None,2.08,5,507.2,0,0.088,0.696,Low,5.75,Clayey,1.39,0.49,Agriculture,0.578,0.137,30.8,215.0,High,train,satellite,0,"ndvi,soc_percent",2022-01-03 00:00:00,MODIS,MP-GWL
HH_00049,23.924272277627637,80.19312692642303,VLG_025,Kharif,2025,35,M,Primary,3.08,8,406.52,0,0.237,0.697,Medium,6.73,Clayey,1.31,1.13,Agriculture,0.52,0.194,33.1,756.8,Medium,train,synthetic,0,"age,txn_count",2022-01-03 01:00:00,MODIS,MH-NGP
HH_00050,27.847923138822793,76.97555905678479,VLG_091,Zaid,2023,63,M,Secondary,1.75,7,1542.41,0,0.354,0.81,Low,5.69,Sandy,1.36,1.03,Agriculture,0.3,0.376,35.3,813.6,Medium,test,synthetic,0,"age,txn_count",2022-01-03 02:00:00,Landsat-8,UP-KNP
HH_00051,26.875664116805574,83.05174397360376,VLG_082,Rabi,2025,18,F,Secondary,0.6,11,763.68,1,0.312,0.654,Medium,6.63,Loamy,1.45,0.86,Forest,0.492,0.164,39.3,786.2,Medium,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-03 03:00:00,Landsat-8,MH-NGP
HH_00052,27.697494707820944,76.85776954698707,VLG_068,Zaid,2023,56,F,None,0.52,8,3130.43,0,0.305,0.801,Medium,6.03,Loamy,1.44,1.04,Water,0.449,0.49,30.3,744.7,Medium,train,survey,0,"psychometric_resilience,agri_input_spend",2022-01-03 04:00:00,MODIS,BR-PTN
HH_00053,27.474136752138243,75.84966289889466,VLG_096,Kharif,2025,34,F,Secondary,0.02,13,345.18,0,0.432,0.52,High,6.31,Loamy,1.25,0.82,Agriculture,0.772,0.12,33.7,342.9,Medium,validation,survey,0,"ndvi,soc_percent",2022-01-03 05:00:00,Sentinel-2,RJ-BHL
HH_00054,25.989499894055427,79.36246026357158,VLG_083,Kharif,2022,20,M,Primary,3.04,10,271.32,0,0.15,0.532,Low,5.92,Clayey,1.39,0.29,Agriculture,0.337,0.164,31.7,882.3,Medium,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-03 06:00:00,Landsat-8,RJ-BHL
HH_00055,27.609371175115584,81.58307439506062,VLG_029,Zaid,2023,59,F,Primary,3.76,8,1225.58,1,0.403,0.674,Low,6.86,Sandy,1.24,0.47,Barren,0.889,0.538,27.7,607.2,Medium,train,synthetic,0,"ndvi,soc_percent",2022-01-03 07:00:00,Sentinel-2,UP-KNP
HH_00056,23.4424625102596,79.37716824933541,VLG_007,Rabi,2022,24,F,Primary,2.92,11,576.59,0,0.575,0.32,Medium,6.18,Loamy,1.38,0.95,Water,0.832,0.596,33.0,666.8,Low,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-03 08:00:00,MODIS,MP-GWL
HH_00057,23.979914312095726,77.76754131951309,VLG_037,Rabi,2024,44,F,Secondary,0.15,12,825.59,0,0.306,0.385,Low,6.39,Clayey,1.29,0.28,Agriculture,0.712,0.254,41.1,758.5,Low,train,synthetic,0,"ndvi,soc_percent",2022-01-03 09:00:00,Landsat-8,BR-PTN
HH_00058,23.22613644455269,80.58171183890441,VLG_060,Kharif,2022,45,F,Primary,2.87,4,602.76,0,0.382,0.042,Medium,6.02,Sandy,1.15,0.56,Agriculture,0.76,0.375,36.6,675.4,High,train,synthetic,0,"age,txn_count",2022-01-03 10:00:00,MODIS,BR-PTN
HH_00059,24.62665165381632,78.470023354122,VLG_080,Kharif,2023,61,F,None,0.09,8,821.8,0,0.157,0.564,Medium,6.29,Loamy,1.33,0.59,Agriculture,0.268,0.448,34.3,847.7,Medium,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-03 11:00:00,Landsat-8,UP-KNP
HH_00060,24.94338644844741,84.32867690126633,VLG_064,Kharif,2022,48,F,Primary,0.22,9,1325.46,0,0.27,0.669,High,6.65,Clayey,1.41,0.88,Agriculture,0.738,0.113,28.7,489.7,Medium,train,satellite,0,"psychometric_resilience,agri_input_spend",2022-01-03 12:00:00,Landsat-8,UP-KNP
HH_00061,24.35674515886948,84.22645139603571,VLG_066,Kharif,2023,32,M,Secondary,1.16,6,713.4,0,0.408,0.364,Medium,6.26,Loamy,1.36,0.74,Agriculture,0.341,0.525,29.6,816.5,Medium,validation,synthetic,0,"age,txn_count",2022-01-03 13:00:00,Sentinel-2,RJ-BHL
HH_00062,27.143687545759647,80.02371819972096,VLG_045,Rabi,2025,25,F,Secondary,1.29,11,597.19,0,0.397,0.642,Low,5.55,Loamy,1.21,0.86,Agriculture,0.819,0.136,33.0,378.6,Medium,train,synthetic,0,"age,txn_count",2022-01-03 14:00:00,Landsat-8,UP-KNP
HH_00063,24.78376663346795,78.27883994018258,VLG_089,Zaid,2024,23,M,None,3.39,18,763.85,0,0.254,0.799,Low,6.87,Sandy,1.33,0.94,Agriculture,0.479,0.209,34.8,662.2,Medium,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-03 15:00:00,Sentinel-2,UP-KNP
HH_00064,24.404672548436903,82.3713241395664,VLG_094,Rabi,2022,45,F,None,2.28,10,39.4,0,0.172,0.692,Low,6.84,Loamy,1.29,0.91,Agriculture,0.681,0.54,31.3,519.6,Medium,test,synthetic,0,"age,txn_count",2022-01-03 16:00:00,Sentinel-2,RJ-BHL
HH_00065,25.713480415791242,75.36712943483067,VLG_071,Zaid,2024,21,F,Secondary,0.33,14,1549.52,0,0.557,0.865,Medium,6.28,Sandy,1.38,1.06,Agriculture,0.741,0.599,32.0,633.6,Low,train,synthetic,0,"ndvi,soc_percent",2022-01-03 17:00:00,Sentinel-2,BR-PTN
HH_00066,23.704621124873814,79.74769006043651,VLG_042,Kharif,2022,47,M,Secondary,0.51,8,1609.45,0,0.618,0.929,Medium,6.9,Loamy,1.4,0.85,Agriculture,0.557,0.527,26.4,789.0,High,test,survey,0,"psychometric_resilience,agri_input_spend",2022-01-03 18:00:00,Landsat-8,MH-NGP
HH_00067,27.0109849037702,78.36323394270333,VLG_058,Kharif,2023,60,F,Primary,0.67,8,1961.3,0,0.286,0.337,Medium,6.31,Loamy,1.17,0.5,Forest,0.495,0.65,30.5,756.5,Medium,validation,synthetic,1,"age,txn_count",2022-01-03 19:00:00,Sentinel-2,MP-GWL
HH_00068,23.372753218398856,84.20535885102555,VLG_045,Zaid,2022,34,F,Secondary,0.26,4,841.55,0,0.309,0.801,High,5.92,Sandy,1.31,0.43,Forest,0.494,0.692,33.1,601.5,Medium,train,synthetic,0,"age,txn_count",2022-01-03 20:00:00,MODIS,MP-GWL
HH_00069,27.934434683002586,75.12003027272682,VLG_071,Kharif,2024,51,F,Graduate+,0.68,10,800.11,0,0.151,0.449,Low,6.72,Sandy,1.21,0.92,Agriculture,0.809,0.587,33.1,417.1,Low,train,synthetic,0,"age,txn_count",2022-01-03 21:00:00,Sentinel-2,RJ-BHL
HH_00070,26.861223846483288,80.52814875718349,VLG_034,Rabi,2022,23,F,None,2.61,15,2741.03,0,0.244,0.218,High,7.12,Clayey,1.32,0.77,Agriculture,0.883,0.47,38.6,416.8,Medium,train,satellite,0,"ndvi,soc_percent",2022-01-03 22:00:00,Sentinel-2,MH-NGP
HH_00071,23.993578407670864,82.40663581066626,VLG_038,Kharif,2024,53,F,Primary,0.55,10,375.98,0,0.236,0.069,Low,6.68,Loamy,1.16,0.8,Agriculture,0.693,0.132,27.7,782.0,Medium,validation,synthetic,0,"ndvi,soc_percent",2022-01-03 23:00:00,Sentinel-2,UP-KNP
HH_00072,23.027610585618014,79.85017987524041,VLG_091,Kharif,2024,52,F,None,3.61,14,2193.87,0,0.27,0.482,High,6.93,Loamy,1.29,0.6,Agriculture,0.525,0.64,30.8,617.4,Low,test,survey,0,"psychometric_resilience,agri_input_spend",2022-01-04 00:00:00,Landsat-8,UP-KNP
HH_00073,27.077307142274172,75.85403030162722,VLG_050,Kharif,2023,56,M,Secondary,1.27,10,2433.55,0,0.065,0.725,Low,6.31,Clayey,1.33,0.78,Agriculture,0.365,0.272,41.1,500.5,Low,test,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-04 01:00:00,MODIS,MP-GWL
HH_00074,26.534286719238086,84.72461390027902,VLG_003,Kharif,2025,56,M,Primary,0.78,10,540.92,0,0.362,0.417,High,6.45,Sandy,1.07,0.34,Barren,0.555,0.335,25.9,458.9,Medium,test,survey,0,"age,txn_count",2022-01-04 02:00:00,Sentinel-2,MP-GWL
HH_00075,26.645035840204937,80.18010431376098,VLG_079,Rabi,2025,33,M,None,1.06,5,558.23,0,0.252,0.657,Low,7.17,Clayey,1.27,0.38,Agriculture,0.294,0.412,31.0,686.2,Low,train,synthetic,0,"ndvi,soc_percent",2022-01-04 03:00:00,Sentinel-2,MP-GWL
HH_00076,26.85635173342973,81.14186244319012,VLG_076,Zaid,2022,19,F,Secondary,2.47,13,395.72,0,0.215,0.735,Medium,6.96,Sandy,1.15,1.68,Barren,0.82,0.63,40.2,868.3,Medium,train,satellite,0,"psychometric_resilience,agri_input_spend",2022-01-04 04:00:00,Landsat-8,UP-KNP
HH_00077,23.370223258670453,77.36609782707507,VLG_083,Kharif,2024,25,M,Secondary,1.45,10,453.57,0,0.05,0.519,High,6.98,Clayey,1.38,0.15,Barren,0.783,0.582,40.6,563.9,Medium,train,synthetic,0,"ndvi,soc_percent",2022-01-04 05:00:00,MODIS,BR-PTN
HH_00078,24.792328642721362,79.83498085106804,VLG_050,Kharif,2023,32,F,None,0.01,15,792.85,0,0.095,0.509,Low,6.28,Sandy,1.11,0.49,Agriculture,0.744,0.402,31.9,747.9,Low,validation,synthetic,0,"age,txn_count",2022-01-04 06:00:00,MODIS,RJ-BHL
HH_00079,23.57934529762565,79.29149491958322,VLG_004,Rabi,2025,44,M,None,5.11,10,687.08,0,0.641,0.668,Medium,6.43,Loamy,1.26,0.45,Agriculture,0.285,0.627,27.6,432.2,Medium,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-04 07:00:00,Landsat-8,BR-PTN
HH_00080,27.315517129377966,75.74895842001983,VLG_054,Rabi,2023,33,F,Primary,0.14,11,2392.43,0,0.084,0.863,Medium,6.65,Loamy,1.43,0.45,Water,0.566,0.611,30.8,715.2,High,train,synthetic,0,"age,txn_count",2022-01-04 08:00:00,Sentinel-2,UP-KNP
HH_00081,26.11649063413779,76.06160353547467,VLG_019,Rabi,2023,18,M,Secondary,5.58,11,660.51,0,0.47,0.386,Medium,5.95,Sandy,1.2,0.66,Barren,0.516,0.307,32.3,830.1,Low,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-04 09:00:00,Landsat-8,MH-NGP
HH_00082,24.654490124263248,83.37472519618774,VLG_023,Kharif,2024,27,F,Secondary,0.06,11,2659.61,0,0.529,0.391,Medium,5.64,Sandy,1.23,0.4,Agriculture,0.361,0.269,31.9,489.8,Low,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-04 10:00:00,Landsat-8,RJ-BHL
HH_00083,23.317791751430118,77.39819952206591,VLG_035,Zaid,2022,24,F,Primary,2.95,6,1653.2,1,0.328,0.835,Medium,6.94,Clayey,1.29,1.01,Water,0.664,0.336,39.3,722.6,Low,test,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-04 11:00:00,MODIS,MP-GWL
HH_00084,24.554911608578312,76.9495827149863,VLG_033,Rabi,2024,27,F,Primary,1.53,7,348.45,0,0.472,0.483,Medium,5.84,Clayey,1.31,0.82,Agriculture,0.836,0.56,28.9,632.6,Low,train,synthetic,0,"ndvi,soc_percent",2022-01-04 12:00:00,Landsat-8,MP-GWL
HH_00085,24.625916610133736,80.04911451250139,VLG_053,Rabi,2025,29,F,Secondary,1.41,14,1785.14,0,0.374,0.866,Low,6.42,Loamy,1.07,0.93,Agriculture,0.601,0.477,34.5,592.5,Low,train,synthetic,0,"ndvi,soc_percent",2022-01-04 13:00:00,Sentinel-2,RJ-BHL
